timestamp,VTHO,PLA,OCE,SHA,DBET,EHrT,TIC,YEET,Other
1550315400000,1183386.74,1329949.23,0.00,2897083.04,417353.56,0.00,0.00,0.00,0.00
1550325400000,1183386.74,1379949.23,0.00,2897083.04,417353.56,0.00,0.00,0.00,0.00
1550335400000,1183386.74,1338340.13,0.00,2897083.04,417353.56,0.00,0.00,0.00,0.00
1550345400000,1176078.82,1351868.02,0.00,2904089.96,417353.56,0.00,0.00,0.00,0.00
1550355400000,1235422.68,1331609.76,0.00,2822818.91,417353.56,0.00,0.00,0.00,0.00
1550365400000,1235422.68,1412559.80,0.00,2783873.80,417353.56,0.00,0.00,0.00,0.00
1550375410000,1387808.61,1443340.13,0.00,2783873.80,417353.56,0.00,0.00,0.00,0.00
1550385410000,1387518.47,1351021.98,0.00,2884163.94,417353.56,0.00,0.00,0.00,0.00
1550395410000,1381643.89,1351021.98,0.00,2884163.94,417353.56,0.00,0.00,0.00,0.00
1550405410000,1275730.21,1351021.98,0.00,2884163.94,417353.56,0.00,0.00,0.00,0.00
1550415410000,1266872.44,1352828.51,0.00,2884163.94,417353.56,0.00,0.00,0.00,0.00
1550425410000,905343.78,1343824.88,0.00,2804049.02,417353.56,0.00,0.00,0.00,0.00
1550435410000,930713.34,1361266.64,0.00,2786607.26,417353.56,0.00,0.00,0.00,0.00
1550445410000,993560.00,1326807.84,0.00,2830701.26,417353.56,0.00,0.00,0.00,0.00
1550455410000,950786.81,1336426.84,0.00,2874003.68,417353.56,0.00,0.00,0.00,0.00
1550465410000,1196872.20,1445163.84,0.00,2735063.40,417353.56,0.00,0.00,0.00,0.00
1550475430000,1185243.30,1445163.84,0.00,2811872.34,417353.56,0.00,1500.00,0.00,0.00
1550485440000,1177162.97,1378634.43,0.00,2821872.34,417353.56,0.00,1500.00,0.00,0.00
1550495440000,1197162.97,1378634.43,0.00,2821872.34,417353.56,0.00,1500.00,0.00,0.00
1550505440000,1166518.11,1361880.35,0.00,2821872.34,417353.56,0.00,1500.00,0.00,0.00
1550515440000,893844.39,1320515.22,0.00,2853750.03,417353.56,0.00,1500.00,0.00,0.00
1550525440000,893844.39,1199635.02,0.00,2872760.74,512607.62,0.00,10566.04,0.00,0.00
1550535440000,909312.11,1193223.95,0.00,2872760.74,529936.51,0.00,10566.04,0.00,0.00
1550545440000,907784.55,1457246.56,0.00,2697749.24,403363.89,0.00,10566.04,0.00,0.00
1550555450000,909625.55,1431236.54,0.00,2703813.72,412550.66,0.00,19484.04,0.00,0.00
1550565450000,909625.55,1321351.38,0.00,2743813.72,367758.24,0.00,19484.04,0.00,0.00
1550575450000,906933.58,1286606.53,0.00,2805538.31,367758.24,0.00,18918.44,0.00,0.00
1550585450000,895283.51,1283462.64,0.00,2805538.31,367758.24,0.00,18918.44,0.00,0.00
1550595450000,895283.51,1305724.97,0.00,2813766.43,374000.01,0.00,18918.44,0.00,0.00
1550605460000,985654.34,1254378.39,0.00,2813766.43,336952.66,0.00,38918.44,0.00,0.00
1550615460000,980712.23,1249266.78,0.00,2743581.39,309942.05,0.00,23178.81,0.00,0.00
1550625460000,969410.95,1249266.78,0.00,2743581.39,359963.09,0.00,28178.81,0.00,0.00
1550635460000,968088.16,1227405.05,0.00,2743581.39,359963.09,0.00,28178.81,0.00,0.00
1550645470000,965801.41,1197011.51,0.00,2714908.99,359963.09,0.00,28178.81,0.00,0.00
1550655470000,958312.09,1192571.13,0.00,2714929.99,360155.41,0.00,31188.55,0.00,0.00
1550665470000,957822.40,1175527.03,0.00,2733147.01,360565.41,0.00,31188.55,0.00,0.00
1550675480000,944770.51,1286980.66,0.00,2773714.26,360565.41,0.00,31188.55,0.00,0.00
1550685480000,937352.55,1243892.26,0.00,2772327.52,360565.41,0.00,31188.55,0.00,0.00
